activity_id,week,location_id,co_share_group
A001,22,PLAT:BET:S15:EB,b1
A001,22,PLAT:BET:S16:EB,b1
A001,22,PLAT:BET:S17:EB,b1
A001,22,SEC:BET:S15_S16:EB,b1
A001,22,SEC:BET:S16_S17:EB,b1
A001,24,PLAT:BET:S15:EB,b1
A001,24,PLAT:BET:S16:EB,b2
A001,24,PLAT:BET:S17:EB,b1
A001,24,SEC:BET:S15_S16:EB,b1
A001,24,SEC:BET:S16_S17:EB,b1
A002,1,PLAT:BET:S11:WB,b1
A002,1,PLAT:BET:S12:WB,b1
A002,1,PLAT:BET:S13:WB,b1
A002,1,SEC:BET:S11_S12:WB,b1
A002,1,SEC:BET:S12_S13:WB,b1
A002,8,PLAT:BET:S11:WB,b2
A002,8,PLAT:BET:S12:WB,b2
A002,8,PLAT:BET:S13:WB,b2
A002,8,SEC:BET:S11_S12:WB,b3
A002,8,SEC:BET:S12_S13:WB,b1
A002,9,PLAT:BET:S11:WB,b2
A002,9,PLAT:BET:S12:WB,b2
A002,9,PLAT:BET:S13:WB,b2
A002,9,SEC:BET:S11_S12:WB,b2
A002,9,SEC:BET:S12_S13:WB,b2
A002,10,PLAT:BET:S11:WB,b2
A002,10,PLAT:BET:S12:WB,b2
A002,10,PLAT:BET:S13:WB,b2
A002,10,SEC:BET:S11_S12:WB,b3
A002,10,SEC:BET:S12_S13:WB,b3
A002,11,PLAT:BET:S11:WB,b2
A002,11,PLAT:BET:S12:WB,b2
A002,11,PLAT:BET:S13:WB,b2
A002,11,SEC:BET:S11_S12:WB,b1
A002,11,SEC:BET:S12_S13:WB,b4
A002,12,PLAT:BET:S11:WB,b2
A002,12,PLAT:BET:S12:WB,b2
A002,12,PLAT:BET:S13:WB,b2
A002,12,SEC:BET:S11_S12:WB,b3
A002,12,SEC:BET:S12_S13:WB,b3
A002,13,PLAT:BET:S11:WB,b2
A002,13,PLAT:BET:S12:WB,b2
A002,13,PLAT:BET:S13:WB,b2
A002,13,SEC:BET:S11_S12:WB,b3
A002,13,SEC:BET:S12_S13:WB,b1
A002,14,PLAT:BET:S11:WB,b2
A002,14,PLAT:BET:S12:WB,b2
A002,14,PLAT:BET:S13:WB,b2
A002,14,SEC:BET:S11_S12:WB,b3
A002,14,SEC:BET:S12_S13:WB,b4
A002,16,PLAT:BET:S11:WB,b2
A002,16,PLAT:BET:S12:WB,b2
A002,16,PLAT:BET:S13:WB,b2
A002,16,SEC:BET:S11_S12:WB,b1
A002,16,SEC:BET:S12_S13:WB,b4
A002,18,PLAT:BET:S11:WB,b2
A002,18,PLAT:BET:S12:WB,b2
A002,18,PLAT:BET:S13:WB,b2
A002,18,SEC:BET:S11_S12:WB,b3
A002,18,SEC:BET:S12_S13:WB,b4
A002,23,PLAT:BET:S11:WB,b2
A002,23,PLAT:BET:S12:WB,b2
A002,23,PLAT:BET:S13:WB,b2
A002,23,SEC:BET:S11_S12:WB,b3
A002,23,SEC:BET:S12_S13:WB,b2
A003,11,PLAT:BET:H01:EB,b1
A003,11,PLAT:BET:H02:EB,b1
A003,11,PLAT:BET:S15:EB,b2
A003,11,PLAT:BET:S16:EB,b1
A003,11,SEC:BET:H01_H02:EB,b1
A003,11,SEC:BET:H02_S15:EB,b1
A003,11,SEC:BET:S15_S16:EB,b1
A003,12,PLAT:BET:H01:EB,b1
A003,12,PLAT:BET:H02:EB,b1
A003,12,PLAT:BET:S15:EB,b2
A003,12,PLAT:BET:S16:EB,b1
A003,12,SEC:BET:H01_H02:EB,b1
