activity_id,week,location_id,co_share_group
A001,21,PLAT:BET:S15:EB,b1
A001,21,PLAT:BET:S16:EB,b1
A001,21,PLAT:BET:S17:EB,b1
A001,21,SEC:BET:S15_S16:EB,b1
A001,21,SEC:BET:S16_S17:EB,b1
A001,23,PLAT:BET:S15:EB,b2
A001,23,PLAT:BET:S16:EB,b2
A001,23,PLAT:BET:S17:EB,b2
A001,23,SEC:BET:S15_S16:EB,b1
A001,23,SEC:BET:S16_S17:EB,b1
A002,1,PLAT:BET:S11:WB,b1
A002,1,PLAT:BET:S12:WB,b1
A002,1,PLAT:BET:S13:WB,b1
A002,1,SEC:BET:S11_S12:WB,b1
A002,1,SEC:BET:S12_S13:WB,b1
A002,17,PLAT:BET:S11:WB,b2
A002,17,PLAT:BET:S12:WB,b2
A002,17,PLAT:BET:S13:WB,b2
A002,17,SEC:BET:S11_S12:WB,b3
A002,17,SEC:BET:S12_S13:WB,b4
A002,22,PLAT:BET:S11:WB,b2
A002,22,PLAT:BET:S12:WB,b2
A002,22,PLAT:BET:S13:WB,b2
A002,22,SEC:BET:S11_S12:WB,b3
A002,22,SEC:BET:S12_S13:WB,b4
A003,11,PLAT:BET:H01:EB,b1
A003,11,PLAT:BET:H02:EB,b1
A003,11,PLAT:BET:S15:EB,b2
A003,11,PLAT:BET:S16:EB,b2
A003,11,SEC:BET:H01_H02:EB,b1
A003,11,SEC:BET:H02_S15:EB,b1
A003,11,SEC:BET:S15_S16:EB,b4
A003,12,PLAT:BET:H01:EB,b1
A003,12,PLAT:BET:H02:EB,b1
A003,12,PLAT:BET:S15:EB,b2
A003,12,PLAT:BET:S16:EB,b2
A003,12,SEC:BET:H01_H02:EB,b1
A003,12,SEC:BET:H02_S15:EB,b1
A003,12,SEC:BET:S15_S16:EB,b4
A003,13,PLAT:BET:H01:EB,b1
A003,13,PLAT:BET:H02:EB,b1
A003,13,PLAT:BET:S15:EB,b2
A003,13,PLAT:BET:S16:EB,b2
A003,13,SEC:BET:H01_H02:EB,b1
A003,13,SEC:BET:H02_S15:EB,b1
A003,13,SEC:BET:S15_S16:EB,b4
A003,14,PLAT:BET:H01:EB,b1
A003,14,PLAT:BET:H02:EB,b1
A003,14,PLAT:BET:S15:EB,b2
A003,14,PLAT:BET:S16:EB,b2
A003,14,SEC:BET:H01_H02:EB,b1
A003,14,SEC:BET:H02_S15:EB,b1
A003,14,SEC:BET:S15_S16:EB,b4
A003,15,PLAT:BET:H01:EB,b1
A003,15,PLAT:BET:H02:EB,b1
A003,15,PLAT:BET:S15:EB,b2
A003,15,PLAT:BET:S16:EB,b2
A003,15,SEC:BET:H01_H02:EB,b1
A003,15,SEC:BET:H02_S15:EB,b1
A003,15,SEC:BET:S15_S16:EB,b4
A004,21,PLAT:ALP:H01:EB,b1
A004,21,PLAT:ALP:S03:EB,b1
A004,21,PLAT:ALP:S04:EB,b1
A004,21,SEC:ALP:S03_S04:EB,b1
A004,21,SEC:ALP:S04_H01:EB,b1
A004,22,PLAT:ALP:H01:EB,b1
A004,22,PLAT:ALP:S03:EB,b2
A004,22,PLAT:ALP:S04:EB,b1
A004,22,SEC:ALP:S03_S04:EB,b1
A004,22,SEC:ALP:S04_H01:EB,b1
A004,23,PLAT:ALP:H01:EB,b1
A004,23,PLAT:ALP:S03:EB,b1
A004,23,PLAT:ALP:S04:EB,b1
A004,23,SEC:ALP:S03_S04:EB,b1
A004,23,SEC:ALP:S04_H01:EB,b1
A006,4,PLAT:ALP:H01:WB,b1
A006,4,PLAT:ALP:H02:WB,b1
A006,4,PLAT:ALP:S03:WB,b1
A006,4,PLAT:ALP:S04:WB,b1
A006,4,SEC:ALP:H01_H02:WB,b1
A006,4,SEC:ALP:S03_S04:WB,b4
A006,4,SEC:ALP:S04_H01:WB,b1
A006,6,PLAT:ALP:H01:WB,b1
A006,6,PLAT:ALP:H02:WB,b1
A006,6,PLAT:ALP:S03:WB,b2
A006,6,PLAT:ALP:S04:WB,b1
A006,6,SEC:ALP:H01_H02:WB,b1
A006,6,SEC:ALP:S03_S04:WB,b1
A006,6,SEC:ALP:S04_H01:WB,b1
A006,7,PLAT:ALP:H01:WB,b1
A006,7,PLAT:ALP:H02:WB,b1
A006,7,PLAT:ALP:S03:WB,b2
A006,7,PLAT:ALP:S04:WB,b1
A006,7,SEC:ALP:H01_H02:WB,b1
A006,7,SEC:ALP:S03_S04:WB,b1
A006,7,SEC:ALP:S04_H01:WB,b1
A006,11,PLAT:ALP:H01:WB,b1
A006,11,PLAT:ALP:H02:WB,b1
A006,11,PLAT:ALP:S03:WB,b2
A006,11,PLAT:ALP:S04:WB,b2
A006,11,SEC:ALP:H01_H02:WB,b1
A006,11,SEC:ALP:S03_S04:WB,b4
A006,11,SEC:ALP:S04_H01:WB,b1
A006,12,PLAT:ALP:H01:WB,b1
A006,12,PLAT:ALP:H02:WB,b1
A006,12,PLAT:ALP:S03:WB,b2
A006,12,PLAT:ALP:S04:WB,b2
A006,12,SEC:ALP:H01_H02:WB,b1
A006,12,SEC:ALP:S03_S04:WB,b4
A006,12,SEC:ALP:S04_H01:WB,b1
A006,14,PLAT:ALP:H01:WB,b1
A006,14,PLAT:ALP:H02:WB,b1
A006,14,PLAT:ALP:S03:WB,b2
A006,14,PLAT:ALP:S04:WB,b2
A006,14,SEC:ALP:H01_H02:WB,b1
A006,14,SEC:ALP:S03_S04:WB,b4
A006,14,SEC:ALP:S04_H01:WB,b1
A006,17,PLAT:ALP:H01:WB,b1
A006,17,PLAT:ALP:H02:WB,b1
A006,17,PLAT:ALP:S03:WB,b2
A006,17,PLAT:ALP:S04:WB,b2
A006,17,SEC:ALP:H01_H02:WB,b1
A006,17,SEC:ALP:S03_S04:WB,b3
A006,17,SEC:ALP:S04_H01:WB,b1
A006,19,PLAT:ALP:H01:WB,b1
A006,19,PLAT:ALP:H02:WB,b1
